scenario,method,lfr_mean,stockout_mean,time_mean
baseline,DP-Lagrangian,0.2042440206905807,0.7966086548732235,17.1355250093672
baseline,literature_nominal,0.1957819900968833,0.8077169449635878,0.2795233938429091
baseline,CP-SAT,0.1952394641665986,0.8079758686427577,0.20381301773919
baseline,DP-Rob,0.1896157977578585,0.7968058114227611,16.812681913375854
baseline,Greedy,0.1848605105945165,0.8199197086766166,0.0003959125942654
baseline,literature_robust,0.18192479339157433,0.8066051745261883,0.262001985973782
baseline,CP-SAT-Rob,0.181444625136027,0.8067672813742524,0.2369772434234619
baseline,Greedy-Rob,0.1699219516972177,0.8213653055162473,0.0004436598883734
high_volatility,DP-Lagrangian,0.2032661315995455,0.8336105495151407,17.132725371254814
high_volatility,literature_nominal,0.19691945530815763,0.8413508470772688,0.3849845462375217
high_volatility,CP-SAT,0.1957739095013223,0.8415554210878309,0.174852705001831
high_volatility,Greedy,0.1867405403777034,0.855115441045191,0.0003327210744222
high_volatility,DP-Rob,0.1843199147257177,0.8376429609072196,16.80997149679396
high_volatility,literature_robust,0.17803599833234804,0.8437114359178766,0.36466049088372127
high_volatility,CP-SAT-Rob,0.177453134328018,0.8442876103581152,0.1537234518263075
high_volatility,Greedy-Rob,0.1678569569650926,0.8590368830488216,0.0003689765930175
large_scale,DP-Lagrangian,0.0905351312281113,0.9266743288706932,34.97445355521308
large_scale,literature_nominal,0.0867619111306445,0.9318214406339553,0.4900132868025038
large_scale,CP-SAT,0.0851943703065879,0.9330908869009796,0.2741243203481038
large_scale,DP-Rob,0.0797014050196941,0.9239873570351148,34.64012902047899
large_scale,Greedy,0.0789499643490339,0.9392500830122528,0.0007044739193386
large_scale,literature_robust,0.07623978554458317,0.9306052913434448,0.4822905434502496
large_scale,CP-SAT-Rob,0.0758171856515087,0.9309531392848333,0.3108881685468885
large_scale,Greedy-Rob,0.0673912997662615,0.940271192030236,0.0008026017083062
